Guidance_ID,Guidance_Description,Control_ID,Control_Description
FUNC-0000001536,Conduct fault tree analysis to identify and prioritize safety risks associated with the IoT system.,CTRL-0000001482,"System assets shall be categorised based on the impact ratings in the CS BIA, for impact of loss of Confidentiality, integrity and/or availability.  
There are five impact levels: Severe, Major, Moderate, Minor, Insignificant."
FUNC-0000001632,"Conduct threat modeling at the onset of any device or system development effort.  Use a standardized approach to threat modeling that includes the identification of components, data flows,and high value code. Define the threats, prioritize (e.g., rate) the threats and identify mitigations.  Communicate the outputs of your threat model into the system requirements backlog and track these requirements to closure across the lifecycle of the product or system.",CTRL-0000001455,"Threat hunting activities for identifying emerging threats shall be defined. The Company’s Threat Hunting Procedure shall cover hypothesis, research, investigation, detection and analysis, informing, reporting and enrichment."
FUNC-0000001204,"Confidential data should be sanitised before being used in Development/Test environment, otherwise, similar levels of security controls should be applied to the Development/Test environment as to Production.",CTRL-0000001005,"Protective controls shall be applied to handle data in Development & Test environments, according to its classification."
FUNC-0000001644,Configure a software-defined perimeter (SDP) that authenticates IoT devices  prior to connection to the network and restricts activities based on their pre-approved role and privileges.,CTRL-0000001425,"A network segmentation architecture shall be established, documented and implemented for the Company IT/OT networks."
FUNC-0000001493,Configure allowlists on cloud gateways to accept communications from only trusted devices.  Log attempted communications from unauthorized devices.,CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001539,"Configure certificate-based authentication on IoT devices, gateways, and services.",CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001491,Configure cloud services securely.,CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001651,Configure IoT devices to drop new incoming communication attempts. Require that IoT devices initiate all communications.,CTRL-0000001017,Remote connection shall be disabled by default on End-Points.
FUNC-0000001542,"Configure IoT devices, gateways, services, and applications to communicate only with authorized peers and service endpoints.",CTRL-0000001023,"Access policies shall be defined for Company networks, System Assets and services."
FUNC-0000001665,Configure WPA2 or WPA3 encryption mode on Wi-Fi networks.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001130,"Connections between end-users and a Public Cloud Network-hosted System Assets should be encrypted unless, the information being passed is classified as Open.",CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001131,Connections from Public Cloud to the Company Network should be controlled via a Cloud Integration Platform.,CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001590,Consider all contracts necessary. Include indemnification clauses where applicable. Consider areas of security and privacy and responsibility for the same. Obtain consent where necessary. Consider jurisdictional requirements and enforceability of contracts including contracts with organizations in jurisdictions where likelihood of enforcement is unlikely or very difficult. Consider enforceability of clauses in particular jurisdictions. A law in one jurisdiction may not be applicable in another; consider this carefully.,CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001591,Consider all major liability areas associated with IoT system. Consider possible legal exposure within IoT system that might be as a result of something the organization can control. Consider areas outside of organizations control and whether that is addressed in liability disclaimed. Create and implement a plan to address each major area of potential liability after understanding the risks.,CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001677,Consider any applicable rules or restrictions on data transfer and comply with same.,CTRL-0000001465,"All the Company applicable cyber security statutory, regulatory, contractual, and compliance requirements shall be identified, incorporated in cyber security guidelines, frameworks & procedures, and adhered to."
FUNC-0000001599,"Consider industry, product and service supply chain risks, threats and vulnerabilities that may have legal implications.",CTRL-0000001445,A supply chain risk management process shall be defined covering the cyber security risk aspects of the use of Suppliers for outsourced & subscription-based IT services.
FUNC-0000001409,Continuous Anti-virus scanning should be performed for all End-point assets (wherever technically possible for OT End-points),CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
FUNC-0000001522,Create a governance framework for the IoT system. Define who is accountable and responsible for the security of distributed systems and their interconnection to cloud and other data services. Require the identification of executive leadership accountable for each individual system and define the responsibilities of those responsible for securing those systems. Identify and document the roles and responsibilities of employees and third-party users for protection of data and assets within IoT systems.,CTRL-0000001470,"The Company’s governing Cyber Security policies, frameworks, standards, guidelines, procedures and checklists shall be defined, reviewed periodically, and communicated to all relevant stakeholders."
FUNC-0000001534,"Create a set of terms and conditions as well as a privacy policy associated with IoT system and specific devices as required by law or recommended. Consider data collected, whether it will be personal data/confidential data or identifiable to an individual, use of data, whether it can be or will be sold to any parties, whether instances of new data being collected may arise. Ensure compliance with all jurisdictions. Create a separate privacy policy or a supplemental privacy policy as needed for specific jurisdictions. Have this reviewed by legal counsel. Do not overpromise privacy or engage in deceptive or unfair practices, these may be used against the organization. Obtain informed consent to terms and conditions as well as privacy policy. Ensure these are agreed to as a contract in relevant jurisdictions.",CTRL-0000001000,Personal Data and Sensitive Personal Data shall be managed & controlled in compliance with applicable data privacy laws.
FUNC-0000001597,Create an implementation plan to comply with legal requirements for IoT System. Include specific technical and organizational implementation of interpreted legal rules based on IoT system.  Build in measures to comply with legal rights of consumers and/or users of IoT system. Consider reasonable security and privacy measures where required by law.  Build in mechanisms to securely collect personal or confidential data.  Build in mechanisms to provide data and correct errors in data where required by law.  Consider data minimization and principle of least privilege.  Consider how to block data from getting into hands of unauthorized individuals or organizations.  Assess whether any appointments of personnel are required under law.  Conduct due diligence when approving third parties related to IoT system.,CTRL-0000001465,"All the Company applicable cyber security statutory, regulatory, contractual, and compliance requirements shall be identified, incorporated in cyber security guidelines, frameworks & procedures, and adhered to."
FUNC-0000001589,"Create disclosures, disclaimers and waivers related to the IoT system necessary to protect the organization. Consider third party liability. Consider all required consumer or other notifications. Review breach notification rules and be prepared with how to comply in the event of a breach.",CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001172,"Create keys in a pre-activated state when they have been generated but not authorized for use should be defined, implemented and evaluated processes, procedures and technical measures, which include provisions for legal and regulatory requirements.",CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001609,Create maintenance plans to routinely inspect and upkeep IoT hardware. Keep parts on hand in inventory in case an IoT device requires repair or replacement. Take immediate action when a maintenance issue is identified by repairing or replacing the IoT device.,CTRL-0000001362,"IT and OT Physical Assets shall be effectively maintained, commensurate with risk-assessment and defined controls."
FUNC-0000001043,Creation of test accounts should be allowed in the Test environment only and approved by the appropriate authoriser.,CTRL-0000001008,"Test accounts shall be strictly controlled, in order to avoid risks of compromise, or impact on Production systems."
FUNC-0000001357,Cyber Security Findings & Risk Treatment Plans should be periodically monitored to track timely progress & closure.,CTRL-0000001048,"Processes & procedures shall be defined to ensure that action plans are developed to address findings/non-compliances in a timely way.  Unaddressed findings shall be registered, then duly risk-assessed and treated, as per the Cyber Security Risk Management Guidelines & Procedures."
FUNC-0000001024,"Cyber Security Incident Response Plans from outsource/CSP's, that relate to System Assets rated as having SEVERE business impact in terms of Availability, should involve relevant stakeholders & service providers, from Company and other businesses in the supply chain.",CTRL-0000001174,"There shall be integration between outsource/Cloud Service Providers (CSP's) and the Company's cyber security incident management process, in order to ensure effective management of cyber security incidents related to System Assets rated as having SEVERE business impact in terms of Confidentiality, Integrity, and/or Availability."
FUNC-0000001429,Cyber security incidents should capture the details of the assets affected.,CTRL-0000001340,Cyber security event/incident logging shall capture necessary data to facilitate immediate initial assessment and triage.
FUNC-0000001252,Cyber security requirements should be identified during requirement gathering stage.,CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
FUNC-0000001016,Cyber Security risk assessment results should be documented and stored in a centralised repository and kept up-to date.,CTRL-0000001439,"Cyber security risk assessment results shall be formally documented, reported, and reassessed at appropriate intervals."
FUNC-0000001250,"Cyber Security risk assessment should be performed for new, or enhancements to existing, System Assets.",CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
FUNC-0000001015,"Cyber Security Risk Treatment Plans should, at minimum cover action items, owners, and target dates for addressing the risk.",CTRL-0000001322,"Risk Treatment Options (mitigate, accept, transfer, avoid) should be identified and approved."
FUNC-0000001154,"Cyber Security role-based training requirements should be identified for the Employees & Contractors, taking into account Cyber Security responsibilities and required skill levels. Training requirements should be reassessed at least annually, or in case of material changes in roles or organization structure.",CTRL-0000001406,Role-based skill training shall be provided to Employees & Contractors who have roles & responsibilities requiring the performing Cyber Security related activities.
FUNC-0000001155,"Cyber Security role-based training should designed and rolled out to relevant Employees & Contractors, with trainees registered, and assessments performed to verify the sufficiency of the training, and to check that desired skill-levels are achieved.",CTRL-0000001406,Role-based skill training shall be provided to Employees & Contractors who have roles & responsibilities requiring the performing Cyber Security related activities.
FUNC-0000001258,Cyber security test plans should be defined and agreed for cyber security testing before connecting any new System Assets to a Production environment.,CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
FUNC-0000001255,Cyber Security-related requirements should be included in a Cyber Security Requirement Specification (CSRS).,CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
FUNC-0000001312,"Data backup & restore plans should be defined based on the Restore Point Objective (RPO) for the information asset, should identify & factor in any backup & restore testing requirements, plus Company Disaster Recovery requirements.",CTRL-0000001296,"Data backup and restoration plans shall be created, reviewed, and maintained, to ensure it continues to address the identified requirements."
FUNC-0000001314,Data backup & restore plans should be stored in a centralised logical storage location.,CTRL-0000001296,"Data backup and restoration plans shall be created, reviewed, and maintained, to ensure it continues to address the identified requirements."
FUNC-0000001326,Data backup copies should not be amended and should be preserved in their original state.,CTRL-0000001045,"Data backups shall be logged, and securely stored/maintained in accordance with the agreed backup and restoration plan."
FUNC-0000001313,Data backup plans should take into account standard Company data backup policies & procedures (where they exist).,CTRL-0000001296,"Data backup and restoration plans shall be created, reviewed, and maintained, to ensure it continues to address the identified requirements."
FUNC-0000001324,"Data backups should be protected from natural disasters (e.g. fire, flood etc.).",CTRL-0000001045,"Data backups shall be logged, and securely stored/maintained in accordance with the agreed backup and restoration plan."
FUNC-0000001399,Data Centre HVAC and fire control systems should be continuously monitored in Data Centres.,CTRL-0000001350,"The environmental conditions for siting of Physical Assets shall comply with the technical specifications of the equipment supplied. The environmental conditions shall be monitored, and should be equipped with diagnostics capabilities and alerting to prevent unnecessary impact from power failures, air-conditioning failures, and other disruptions."
FUNC-0000001458,"Data exposed by API should be limited on “least privilege” basis, should identify sensitive / personal data, and justify its usage.",CTRL-0000001513,"APIs shall be configured for secure access, secure API shielding, secure data transfer, and security event logging & monitoring."
FUNC-0000001157,"Data used by System Assets should be identified to implement cyber security controls, such as encryption, and rights management. (Data should include data stored in databases, uploaded files,  in the application, documents accessible through the System Assets, data shared via interfaces etc.).",CTRL-0000001422,"The Company information/data shall be secured in line with its classification, with access provided to users on a Least Privilege basis."
FUNC-0000001272,"Data used by System Assets should be identified to implement cyber security controls, such as encryption, and rights management. (Data should include data stored in databases, uploaded files,  in the application, documents accessible through the System Assets, data shared via interfaces etc.).",CTRL-0000001386,"Guidance on principles, practices & techniques for secure System Assets design, shall be provided, based on industry best practices for common models & platforms."
FUNC-0000001246,"Database & middleware software releases should be kept up-to-date. Software/firmware should be:
a. licensed and supported by the vendor
b. removed from devices when no longer supported",CTRL-0000001188,"Hardening specifications for database technologies & common middleware platforms shall be defined, approved by the appointed CS architectural authorities, and implemented, to ensure that they can be properly secured."
FUNC-0000001927,Databases & middleware platforms should be hardened in accordance with the defined specifications and should be incorporated into the Vulnerability Management processes & tooling.,CTRL-0000001599,"IT security hardening specifications shall be established, documented, approved by appointed CS architectural authorities. implemented, monitored and reviewed."
FUNC-0000001174,"Deactivate keys at the time of their expiration date should be defined, implemented and evaluated processes, procedures and technical measures, which include provisions for legal and regulatory requirements.",CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001031,Default passwords for all default user accounts should be changed to comply with Company password policy.,CTRL-0000001009,"Generic and Default accounts (e.g. as provided with “out-of-the-box” installations) shall be subject to password change, and strong password rules, in order to avoid risks of compromise."
FUNC-0000001504,"Define and follow a quality change control and testing process (e.g. ITIL Service Management) with established baselines, testing, and release standards that focus on a risk-based approach towards system availability, confidentiality, and integrity of systems and services.",CTRL-0000001038,"Changes to IT System Assets shall be formally requested, planned, approved and initiated. Changes to OT assets shall be as per the site's MOC procedures and guidelines and the PTW system of the facility."
FUNC-0000001544,Define misuse patterns and establish policies for revocation of credentials. Implement procedures for the submission of misbehavior reports and a process (misbehavior authority) to adjudicate reports of misbehavior. Establish and implement procedures for revocation to occur within at most 1 day of authorization.,CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001601,"Define security-relevant events to include elevation of privilege attempts, successful/unsuccessful firmware update events, configuration changes to IoT devices and service software, account modifications, tamper events).  Monitor for these security events across the entire IoT system, including any devices, cloud services, mobile or network services, and storage systems.",CTRL-0000001452,"Automated mechanisms (e.g. End-point Tools, Network Monitoring and Forensics Tools, Incident Workflow Management Tools) shall be employed to effectively execute threat hunting, prompt security alerts and provide advisory information."
FUNC-0000001086,Delivery and loading areas should be isolated from information processing facility.,CTRL-0000001426,"Delivery and loading areas shall have restricted access, and shall be segregated from other areas of the premises."
FUNC-0000001488,"Deploy an inventory management system (asset/inventory database) and record details about each IoT device in inventory.  Use this inventory management system to track the hardware, software/firmware, network configurations and location of each device. This includes:
- device name
- the Virtual Local Area Network (VLAN) that hosts the device
- device physical location
- IP address of the device
- MAC address, software/firmware version data
- vendor detailsassociated Wi-Fi Access Point (AP)
- communication protocols
- whether the device includes cellular capability
- firmware and patch status
- application/library versions
- lost or decommissioned status
- whom the device is assigned",CTRL-0000001494,"Inventories of all Physical Assets shall be maintained, and periodically reviewed for accuracy & completeness."
FUNC-0000001513,Deploy devices that validate the software signature on firmware and its components prior to updating.,CTRL-0000001197,"Integrity checking mechanisms (e.g. file hashing, check summing etc.) shall be used to verify software, firmware, and data integrity for IT software installation packages, and for IT systems which are rated as having SEVERE business impact for loss of Integrity, and for those IT systems that store/ process/ transmit PCI-related data."
FUNC-0000001610,Deploy IoT devices that apply tamper protection for security-critical components of the device. Tamper protections range from simple seals and/or locked covers to piezo-electric circuits depending on the threat environment.,CTRL-0000001362,"IT and OT Physical Assets shall be effectively maintained, commensurate with risk-assessment and defined controls."
FUNC-0000001483,Deploy IoT devices that integrate hardware security mechanisms and use hardware roots of trust for storage of cryptographic material and secure operation of cryptographic functions including secure boot and firmware signature validation.,CTRL-0000001187,Integrity checking mechanisms shall be used to verify hardware integrity for all systems and devices rated as having SEVERE business impact for loss of Integrity and/or those that store/ process/ transmit PCI-related data.
FUNC-0000001666,Design 5G network interconnects using a Secure Edge Protection Proxy to enable secure interconnections between the home network and other networks.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001568,"Design a device incident response process that is contextually aware. Take into account the potential impact of taking devices offline, ceding control back to an operator, or disabling capabilities and plan accordingly.",CTRL-0000001339,Cyber security incidents shall be responded to in accordance with Company Incident Response Plan (IRP).
FUNC-0000001571,"Design an incident management process with the following steps: Prepare, Detect, Analyze, Contain, Eradicate, Post Incident, Share, and Update.",CTRL-0000001342,"Cyber Security Incident Response Plans (IRPs) shall be developed and implemented, to ensure proper resolution of cyber security incidents."
FUNC-0000001649,Design and deploy autonomous systems that segment safety-critical from non-safety-critical functions.,CTRL-0000001425,"A network segmentation architecture shall be established, documented and implemented for the Company IT/OT networks."
FUNC-0000001586,Design and implement a state machine for the autonomous system. States should include fail-safe and fail-operational. Cybersecurity events should trigger a state change to one of these states. Fail operational should require human intervention immediately.,CTRL-0000001375,"Protection against physical and environmental threats, such as natural or man-made disasters, as well as accidental or deliberate physical threats to Company premises shall be addressed."
FUNC-0000001605,Design and implement an enterprise logging capability. Integrity protect all logs from generation to storage to enable a chain of custody.,CTRL-0000001352,System event logging shall be enabled on IT and OT System Assets.
FUNC-0000001585,"Design control systems that oversee autonomous systems to be resilient. Autonomous systems should be capable of operating in sensor-degraded environments (e.g, loss of GNSS, cameras, LIDAR, RADAR, etc) using mechanisms such as mutually verifiable information, simultaneous localization and mapping (SLAM) or changing the system to a fail state.",CTRL-0000001375,"Protection against physical and environmental threats, such as natural or man-made disasters, as well as accidental or deliberate physical threats to Company premises shall be addressed."
FUNC-0000001171,"Destroy keys stored outside a secure environment and revoke keys stored in Hardware Security Modules (HSMs) when they are no longer needed, should be defined, implemented and evaluated processes, procedures and technical measures, which include provisions for legal and regulatory requirements.",CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001633,Determine and document which vendors have assurance programs in place. Consider creation of an approved vendor list for use across the organization. Set minimum security standards for vendors.,CTRL-0000001175,"Suppliers and contractors shall be subject to periodic, risk-based assessment (e.g. using audits, SOC2/3 attestations, KPI/KRI reporting, or other forms of evaluation) to confirm they are meeting their cyber security obligations."
FUNC-0000001634,"Determine the assessment target IoT component(s), allocated budget, versioning, testing constraints, overall goals and cadence with system manufacturers or owners during scoping. Consider each facet of an IoT system such as mobile applications, hosted (SaaS) web applications, embedded web applications, APIs, network services, wireless communication, firmware binaries, and device's hardware. Prioritize critical interfaces that allow for user control and privileged access.",CTRL-0000001054,"Technical vulnerability scans, assessments (including patching assessments), and penetration testing shall be performed for IT systems and networks, taking into account IT and service requirements and constraints. Any types of technical vulnerability scans, or assessments for OT systems shall be passive, and based on risk assessment. No penetration test to be done for OT systems."
FUNC-0000001630,Develop applications in accordance with OWASP's Application Security Verification Standard (ASVS) and Mobile Application Security Verification Standard (MASVS) security requirements.,CTRL-0000001190,"A Secure System Development Life Cycle methodology shall be developed, deployed and maintained (e.g. DevSecOps), and shall be kept up-to-date to reflect and cater for new and emerging application platforms. All developments at the Company shall follow the chosen methodology."
FUNC-0000001475,"Development, Test and Production environments should be logically and physically separated (where possible and practical).",CTRL-0000001389,"Guidance on principles, practices & techniques for secure System Assets development shall be provided, based on industry best practices for common models & platforms."
FUNC-0000001119,Device pre-registration should be mandated to enable wireless connectivity.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001148,Device’s screen should be locked after an inactivity of 900 seconds/15 minutes (excluding nominated workstations required for 24*7 monitoring approved by CS architectural authorities).,CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
FUNC-0000001660,Disable any 2G cellular capabilities within systems.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001579,"Disable Bluetooth on devices, workstations and mobile applications when Bluetooth is not needed or when Bluetooth is not in use.",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001577,"Disable non-authenticated Bluetooth pairing procedures (e.g, JustWorks).",CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
FUNC-0000001658,Disable the default ZigBee Trust Center (TC) key and generate/use a non-default key for confidentiality protection of keys in transport.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001575,"Disable unneeded IoT device services, ports and interfaces.",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001578,"Disable unused wireless interfaces such as bluetooth, NFC, Wi-Fi if not needed for device operation within the network.",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001058,"Disabled accounts should be archived (e.g. moved to a separate organization unit) and retained for at least 120 days, then deleted.",CTRL-0000001012,"User accounts shall be de-provisioned in a timely way, to avoid the risks of unused/unnecessary accounts being retained."
FUNC-0000001657,Distribute ZigBee Master Keys out of band- never pass master keys over the network.,CTRL-0000001421,"Wireless connectivity in the Company IT networks shall be securely designed and implemented, in order to ensure proper authentication, segregation, and data security."
FUNC-0000001624,"Do not store API keys and other credentials in public-facing source control systems (e.g., gitlab/github). Publish procedures for the secure handling of API keys. Do not hardcode API keys into firmware, mobile applications or any client-based application. Monitor at least quarterly to verify that API keys and other credentials are not stored in public-facing source control systems.",CTRL-0000001422,"The Company information/data shall be secured in line with its classification, with access provided to users on a Least Privilege basis."
FUNC-0000001478,Do not store the personal identification number (PIN) or the encrypted PIN block after authorization.,CTRL-0000001170,"Payment Card data shall be treated as CONFIDENTIAL, and duly protected in line with PCI-DSS, except for Primary Account Number (PAN) which shall be treated as SECRET and duly encrypted and protected.  In accordance with PCI-DSS, payment card PIN and password information shall NOT be stored."
FUNC-0000001603,"Document all logging mechanisms. Verify that only assigned audit group members are able to read audit logs and no user is able to write to the logs. Ensure that the offload of audit log data (e.g., from device to cloud or gateway) is integrity-protected (e.g., HMAC or digital signature) and that integrity protection is maintained with the log during long-term storage. In all cases, validate the integrity of log files prior to review.",CTRL-0000001050,System event logging shall be enabled on IT and OT System Assets.
FUNC-0000001523,"Document an enterprise-wide IoT cybersecurity policy. Require all IoT implementations to comply with this policy or apply for an exception.  Policy should include restrictions on implementation of unapproved/documented IoT devices/cloud services. Policy should also include minimum security controls to be applied to all IoT implementations; these include cryptographic, monitoring, auditing, authentication, access control, and physical security controls that must be met by any approved IoT implementation. Monitor quarterly to identify out-of-compliance implementations.",CTRL-0000001470,"The Company’s governing Cyber Security policies, frameworks, standards, guidelines, procedures and checklists shall be defined, reviewed periodically, and communicated to all relevant stakeholders."
FUNC-0000001538,"Document an identity management policy for the IoT system. Define appropriate uses for symmetric keys, passwords and certificates. Restrict the provision of duplicate identity credentials (keys, certificates, passwords) to more than one device, user or service.",CTRL-0000001016,"Access policies shall be defined for Company networks, System Assets and services."
FUNC-0000001516,"Document data collected, processed and stored within IoT systems. Classify that data based on data type, value (criticality to the organization), and sensitivity. Label the data with tags (metadata) that can be used to identify types of data flowing within the system.",CTRL-0000001422,"The Company information/data shall be secured in line with its classification, with access provided to users on a Least Privilege basis."
FUNC-0000001533,Document major security and privacy measures with justification of how these comply with the law as instructed by counsel.,CTRL-0000001000,Personal Data and Sensitive Personal Data shall be managed & controlled in compliance with applicable data privacy laws.
FUNC-0000001519,Document the metadata generated by the IoT system. Classify the metadata based on sensitivity level and identify any instances where aggregated data would increase the sensitivity level of the data. Establish procedures to ensure that breaches of metadata are identified and handled in accordance with the organization's incident handling procedures and any applicable breach notification requirements.,CTRL-0000001178,"The Company information/data shall be secured in line with its classification, with access provided to users on a Least Privilege basis."
FUNC-0000001181,Documented approval should be required prior to removal of Company-owned Physical Assets (e.g. hardware & physical media containing information and/or software).,CTRL-0000001403,The Company-owned Physical Assets shall not be taken off-site without prior authorisation.
FUNC-0000001349,"DR plan should be reviewed and approved by Business System Owner. The plan should be reviewed at least annually, or whenever there is a change (e.g. Legislation change, Acquisition of new systems, Staff/organization change etc.)",CTRL-0000001046,A DR Plan shall be developed to recover from cyber security incidents for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability.
FUNC-0000001348,DR Plan should be shared with relevant (internal & external) stakeholders.,CTRL-0000001046,A DR Plan shall be developed to recover from cyber security incidents for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability.
FUNC-0000001333,DR Plan testing should include data restoration testing as one of the components.,CTRL-0000001391,"Backup restoration shall be tested as per schedule, where defined in the backup & restore plan."
FUNC-0000001350,"DR Plans for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability should at least consist of the following:
a. Current and accurate information on infrastructure, network, and application
b. Response procedures for potential cyber security risks and threats
c. Roles and responsibilities of involved personnel
d. Current configuration information for all components
e. Schedule for testing the disaster recovery plan
f. Recovery Point Objectives (RPO) and Recovery Time Objectives (RTO)
g. Access control list with privileges.",CTRL-0000001046,A DR Plan shall be developed to recover from cyber security incidents for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability.
FUNC-0000001352,DR Plans should be revised and updated when necessary after the test or simulation.,CTRL-0000001049,"DR Plans for System Assets, rated as having SEVERE or MAJOR business impact in terms of Availability, shall be tested annually (at least partially, but ensuring that end-to-end testing is completed over a 3-year cycle)."
FUNC-0000001354,"DR Plans should be tested by conducting simulation tests and drills involving all relevant parties, including third parties as needed, and covering the following requirements:  
a. Identify weaknesses or oversights in the DR plan
b. Evaluate plan effectiveness
c. Recognise cyber security threats and risks
d. Document the results of tests and actions required to improve the plan
e. Prepare repeatable tasks to minimise any interruption.",CTRL-0000001049,"DR Plans for System Assets, rated as having SEVERE or MAJOR business impact in terms of Availability, shall be tested annually (at least partially, but ensuring that end-to-end testing is completed over a 3-year cycle)."
FUNC-0000001343,Electromagnetic shielding should be used to protect the cables.,CTRL-0000001374,"Power supply cabling, signal cabling and communication cabling shall be protected from interception, interference or damage."
FUNC-0000001347,"Electronic media with cardholder data is destroyed when no longer needed for business or legal reasons via one of the following: 
• The electronic media is destroyed.
• The cardholder data is rendered unrecoverable so that it cannot be reconstructed.",CTRL-0000001517,"Data shall be securely disposed of, in accordance with any defined retention policy & disposal procedures, where applicable."
FUNC-0000001574,"Eliminate or lock down unnecessary hardware features of IoT devices (e.g., un-needed radios or USB interfaces). Disable or password-restrict any test interfaces (JTAG, UART, GPIO).",CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
FUNC-0000001898,"Embedded devices should
a) provide the capability to provision and protect the confidentiality, integrity, and authenticity of asset owner keys and data to be used as “roots of trust”; and
b) support the capability to provision without reliance on components that may be outside of the device’s security zone.",CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001882,Embedded devices should protect against unauthorized use of the physical factory diagnostic and test interface(s) (e.g. JTAG debugging).,CTRL-0000001139,SR 2.12 - The control system shall provide the capability to determine whether a given human user took a particular action.
