Control_ID,Control_Description
CTRL-0000001299,"Detected events shall be analysed to gain an understanding of attack vectors, threat sources, and methods of attack."
CTRL-0000001298,Coordination between outsource/Cloud Service Providers’ and the Company’s Vulnerability Management Process should be in place to ensure effective handling of High-Risk Findings relating to unaddressed vulnerabilities.
CTRL-0000001297,"Secure Areas (e.g. computer rooms, secured cabinets etc.) shall be created within the Company’s premises for placing/storing System Assets that require extra physical protection/isolation. Sufficient physical barriers shall be in place to restrict entry to authorized persons only."
CTRL-0000001296,"Data backup and restoration plans shall be created, reviewed, and maintained, to ensure it continues to address the identified requirements."
CTRL-0000001197,"Integrity checking mechanisms (e.g. file hashing, check summing etc.) shall be used to verify software, firmware, and data integrity for IT software installation packages, and for IT systems which are rated as having SEVERE business impact for loss of Integrity, and for those IT systems that store/ process/ transmit PCI-related data."
CTRL-0000001196,"Remediation of technical vulnerabilities in system assets shall be conducted in a timely way.
For IT System Asset, refer to “Cyber Security Control Procedures for Practitioners – IT Technical Vulnerability Management” for the remediation timeline.
For OT System Assets, critical or high vulnerabilities discovered in OT System Assets where CS BIA is rated as Severe or Major shall be remediated within 3 weeks. Other non-critical or High vulnerabilities shall be remediated within one month.
Remediation to OT System Assets shall follow the approved OT cyber security control procedures for patch management and vulnerability management.
*Note: Any OT System Assets that have not been rated in CS BIA it should follow the existing Equipment Criticality Assessment (ECA)."
CTRL-0000001195,Risk of the Company exposure to identified technical vulnerabilities shall be assessed.
CTRL-0000001194,The Company-managed IT System Assets rated as having SEVERE or MAJOR business impact in terms of Availability shall be protected against power failures by provision of alternate power supply.
CTRL-0000001193,Suppliers shall immediately notify the Company if DR Plans are activated for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability.
CTRL-0000001192,The Company shall develop and maintain IT network/system architecture diagrams. Changes should be incorporated in the diagrams in a timely way.
CTRL-0000001191,"Cyber security risk assessment of open source software shall be implemented, including vulnerability checks, and potential restrictions on use."
CTRL-0000001190,"A Secure System Development Life Cycle methodology shall be developed, deployed and maintained (e.g. DevSecOps), and shall be kept up-to-date to reflect and cater for new and emerging application platforms. All developments at the Company shall follow the chosen methodology."
CTRL-0000001189,"Third Parties shall adhere to the Company’s procedures and guidelines for change management, testing and release of System Assets on the Company IT or OT networks."
CTRL-0000001188,"Hardening specifications for database technologies & common middleware platforms shall be defined, approved by the appointed CS architectural authorities, and implemented, to ensure that they can be properly secured."
CTRL-0000001187,Integrity checking mechanisms shall be used to verify hardware integrity for all systems and devices rated as having SEVERE business impact for loss of Integrity and/or those that store/ process/ transmit PCI-related data.
CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
CTRL-0000001185,"Hardening specifications for all types of the Company-managed End-points shall be defined and approved by the appointed CS architectural authorities, to ensure that they can be Secure-by-Design."
CTRL-0000001184,"The Company information/data classified as Secret, or handled by System Assets rated as having SEVERE business impact in terms of Confidentiality and/or Integrity, shall be protected by Strong Encryption whilst in transit across all networks, Trusted or Untrusted, unless source and target System Assets are contained within the same Secure Cell."
CTRL-0000001183,"Cryptographic processes for Cloud-based IaaS/PaaS services shall be managed by the Company. Cryptographic infrastructure may be managed by CSP's (or other Third Parties), provided that they do not have access to unencrypted cryptographic keys."
CTRL-0000001182,"The Company information/data classified as Secret, or handled by System Assets rated as having SEVERE business impact with respect to Confidentiality and/or Integrity, shall be protected by Strong Encryption or hosted in a Secure Cell, whilst at rest on IT or OT systems."
CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
CTRL-0000001180,Third Party access to the Company IT & OT System Assets shall be accompanied by a Third Party Access Agreement containing the cyber security responsibilities of the user(s).
CTRL-0000001178,"The Company information/data shall be secured in line with its classification, with access provided to users on a ""Least Privilege"" basis."
CTRL-0000001177,Third Party access to the Company IT & OT System Assets shall require approval from a Company sponsor.
CTRL-0000001176,"Remote access to the Company internal IT/OT networks shall be controlled to avoid the risk of external compromise, with access provided via standard, securely-managed encrypted services approved by the appointed CS architectural authorities."
CTRL-0000001175,"Suppliers and contractors shall be subject to periodic, risk-based assessment (e.g. using audits, SOC2/3 attestations, KPI/KRI reporting, or other forms of evaluation) to confirm they are meeting their cyber security obligations."
CTRL-0000001174,"There shall be integration between outsource/Cloud Service Providers (CSP's) and the Company's cyber security incident management process, in order to ensure effective management of cyber security incidents related to System Assets rated as having SEVERE business impact in terms of Confidentiality, Integrity, and/or Availability."
CTRL-0000001173,"For situations where business impact has been assessed as MAJOR or SEVERE for Confidentiality, the Company shall be aware about the storage locations of their data, including data hosted on Cloud, to ensure the compliance with data export regulations."
CTRL-0000001172,"Suppliers and their Sub-Contractors providing System Assets to the Company shall adhere to privacy & data protection requirements, as per the governing laws and regulations, and shall protect the Company's data in accordance with its data classification, and as per the clauses within their contracts."
CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
CTRL-0000001170,"Payment Card data shall be treated as CONFIDENTIAL, and duly protected in line with PCI-DSS, except for Primary Account Number (PAN) which shall be treated as SECRET and duly encrypted and protected.  In accordance with PCI-DSS, payment card PIN and password information shall NOT be stored."
CTRL-0000001169,"SOC (System & Organization Controls) attestations shall be obtained from Cloud and/or outsourced providers for System Assets rated as having SEVERE business impact in terms of Confidentiality, Integrity, and/or Availability.  In cases where SOC attestation are not available, the Company should reserve the right in the contract to conduct audit on the supplier’s site, processes, personnel and controls."
CTRL-0000001168,"All relevant cyber security requirements shall be identified and agreed with each supplier that has access to, or can impact, the Company’s System Assets."
CTRL-0000001167,SR 6.1 RE 1 - The control system shall provide programmatic access to audit records using an application programming interface (API).
CTRL-0000001166,SR 6.1 - The control system shall provide the capability for authorized humans and/or tools to access audit logs on a read-only basis.
CTRL-0000001165,SR 2.4 RE 1 - The control system shall provide the capability to verify integrity of the mobile code before allowing code execution.
CTRL-0000001164,"SR 5.4 - The control system shall provide the capability to support partitioning of data, applications and services based on criticality to facilitate implementing a zoning model."
CTRL-0000001163,"SR 2.4 - The control system shall provide the capability to enforce usage restrictions for mobile code technologies based on the potential to cause damage to the control system that include:
a) preventing the execution of mobile code;
b) requiring proper authentication and authorization for origin of the code;
c) restricting mobile code transfer to/from the control system; and
d) monitoring the use of mobile code."
CTRL-0000001162,SR 3.2 RE 1 - The control system shall provide the capability to employ malicious code protection mechanisms at all entry and exit points.
CTRL-0000001161,"The control system shall provide the capability to employ protection mechanisms to prevent, detect, report and mitigate the effects of malicious code or unauthorized software. The control system shall provide the capability to update the protection mechanisms."
CTRL-0000001160,SR 3.2 RE 2 - The control system shall provide the capability to manage malicious code protection mechanisms.
CTRL-0000001159,"SR 6.2 - The control system shall provide the capability to continuously monitor all security mechanism performance using commonly accepted security industry practices and recommendations to detect, characterize and report security breaches in a timely manner."
CTRL-0000001158,SR 7.5 - The control system shall provide the capability to switch to and from an emergency power supply without affecting the existing security state or a documented degraded mode.
CTRL-0000001157,"SR 3.9 - The control system shall protect audit information and audit tools (if present) from unauthorized access, modification and deletion."
CTRL-0000001156,SR 3.9 RE 1 - The control system shall provide the capability to produce audit records on hardware-enforced write-once media.
CTRL-0000001155,SR 3.7 - The control system shall identify and handle error conditions in a manner such that effective remediation can occur. This shall be done in a manner which does not provide information that could be exploited by adversaries to attack the IACS unless revealing this information is necessary for the timely troubleshooting of problems.
CTRL-0000001154,SR 4.1 RE 2 - The control system shall provide the capability to protect the confidentiality of information traversing any zone boundary.
CTRL-0000001153,"SR 4.3 - If cryptography is required, the control system shall use cryptographic algorithms, key sizes and mechanisms for key establishment and management according to commonly accepted security industry practices and recommendations."
CTRL-0000001152,SR 3.6 - The control system shall provide the capability to set outputs to a predetermined state if normal operation cannot be maintained as a result of an attack.
CTRL-0000001151,SR 5.3 - The control system shall provide the capability to prevent general purpose person-to-person messages from being received from users or systems external to the control system.
CTRL-0000001150,SR 4.1 RE 1 - The control system shall provide the capability to protect the confidentiality of information at rest and remote access sessions traversing an untrusted network.
CTRL-0000001149,"SR 4.1 - The control system shall provide the capability to protect the confidentiality of information for which explicit read authorization is supported, whether at rest or in transit."
CTRL-0000001148,SR 5.3 RE 1 - The control system shall provide the capability to prevent both transmission and receipt of general purpose person-to-person messages.
CTRL-0000001147,"SR 1.11 - The control system shall provide the capability to enforce a limit of a configurable number of consecutive invalid access attempts by any user (human, software process or device) during a configurable time period. The control system shall provide the capability to deny access for a specified period of time or until unlocked by an administrator when this limit has been exceeded.
For system accounts on behalf of which critical services or servers are run, the control system shall provide the capability to disallow interactive logons."
CTRL-0000001146,SR 3.5 - The control system shall validate the syntax and content of any input which is used as an industrial process control input or input that directly impacts the action of the control system.
CTRL-0000001145,SR 1.12 - The control system shall provide the capability to display a system use notification message before authenticating. The system use notification message shall be configurable by authorized personnel.
CTRL-0000001144,SR 2.2 RE 1 - The control system shall provide the capability to identify and report unauthorized wireless devices transmitting within the control system physical environment.
CTRL-0000001143,SR 2.3 RE 1 - The control system shall provide the capability to verify that portable or mobile devices attempting to connect to a zone comply with the security requirements of that zone.
CTRL-0000001142,SR 2.5 - The control system shall provide the capability to prevent further access by initiating a session lock after a configurable time period of inactivity or by manual initiation. The session lock shall remain in effect until the human user who owns the session or another authorized human user re-establishes access using appropriate identification and authentication procedures.
CTRL-0000001141,"SR 2.2 - The control system shall provide the capability to authorize, monitor and enforce usage restrictions for wireless connectivity to the control system according to commonly accepted security industry practices."
CTRL-0000001140,"SR 2.3 - The control system shall provide the capability to automatically enforce configurable usage restrictions that include:
a) preventing the use of portable and mobile devices;
b) requiring context specific authorization; and
c) restricting code and data transfer to/from portable and mobile devices."
CTRL-0000001139,SR 2.12 - The control system shall provide the capability to determine whether a given human user took a particular action.
CTRL-0000001138,SR 2.11 RE 2 - The time source shall be protected from unauthorized alteration and shall cause an audit event upon alteration.
CTRL-0000001137,"SR 2.12 RE 1 - The control system shall provide the capability to determine whether a given user (human, software process or device) took a particular action."
CTRL-0000001136,SR 2.11 RE 1 - The control system shall provide the capability to synchronize internal system clocks at a configurable frequency.
CTRL-0000001135,SR 2.9 - The control system shall allocate sufficient audit record storage capacity according to commonly recognized recommendations for log management and system configuration. The control system shall provide auditing mechanisms to reduce the likelihood of such capacity being exceeded.
CTRL-0000001134,SR 2.10 - The control system shall provide the capability to alert personnel and prevent the loss of essential services and functions in the event of an audit processing failure. The control system shall provide the capability to support appropriate actions in response to an audit processing failure according to commonly accepted industry practices and recommendations.
CTRL-0000001133,SR 2.11 - The control system shall provide timestamps for use in audit record generation.
CTRL-0000001132,SR 2.9 RE 1 - The control system shall provide the capability to issue a warning when the allocated audit record storage volume reaches a configurable percentage of maximum audit record storage capacity.
CTRL-0000001131,"The control system shall provide the capability to generate audit records relevant to security for the following categories: access control, request errors, operating system events, control system events, backup and restore events, configuration changes, potential reconnaissance
activity and audit log events. Individual audit records shall include the timestamp, source (originating device, software process or human user account), category, type, event ID and event result."
CTRL-0000001130,SR 4.2 RE 1 - The control system shall provide the capability to prevent unauthorized and unintended information transfer via volatile shared memory resources.
CTRL-0000001129,SR 4.2 - The control system shall provide the capability to purge all information for which explicit read authorization is supported from components to be released from active service and/or decommissioned.
CTRL-0000001128,"SR 2.8 RE 1 - The control system shall provide the capability to centrally manage audit events and to compile audit records from multiple components throughout the control system into a systemwide (logical or physical), time-correlated audit trail. The control system shall provide the capability to export these audit records in industry standard formats for analysis by standard commercial log analysis tools, for example, security information and event management (SIEM)."
CTRL-0000001127,SR 7.3 RE 2 - The control system shall provide the capability to automate the backup function based on a configurable frequency.
CTRL-0000001126,SR 7.3 RE 1 - The control system shall provide the capability to verify the reliability of backup mechanisms.
CTRL-0000001125, The control system shall provide the capability to recover and reconstitute to a known secure state after a disruption or failure.
CTRL-0000001124,The identity and location of critical files and the ability to conduct backups of user-level and system-level information (including system state information) shall be supported by the control system without affecting normal plant operations.
CTRL-0000001123,SR 3.4 RE 1 - The control system shall provide the capability to use automated tools that provide notification to a configurable set of recipients upon discovering discrepancies during integrity verification.
CTRL-0000001122,SR 7.6 RE 1 - The control system shall provide the capability to generate a report listing the currently deployed security settings in a machine-readable format.
CTRL-0000001121,The control system shall provide the capability to be configured according to recommended network and security configurations as described in guidelines provided by the control system supplier. The control system shall provide an interface to the currently deployed network and security configuration settings.
CTRL-0000001120,"SR 7.7 - The control system shall provide the capability to specifically prohibit and/or restrict the use of unnecessary functions, ports, protocols and/or services."
CTRL-0000001119,SR 3.3 - The control system shall provide the capability to support verification of the intended operation of security functions during normal operations.
CTRL-0000001118,"SR 3.3 RE 1 - The control system shall provide the capability to employ automated mechanisms to support management of security verification during FAT, SAT and scheduled maintenance."
CTRL-0000001117,"SR 3.3 RE 2 - The control system shall provide the capability to support verification of the intended operation of security functions and report when anomalies are discovered during FAT, SAT and scheduled maintenance. These security functions shall include all those necessary to support the security requirements specified in this standard."
CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
CTRL-0000001115,"SR 7.1 RE 2 - The control system shall provide the capability to restrict the ability of all users (humans, software processes and devices) to cause DoS events which affect other control systems or networks."
CTRL-0000001114,SR 7.1 RE 1 - The control system shall provide the capability to manage communication loads (such as using rate limiting) to mitigate the effects of information flooding types of DoS events.
CTRL-0000001113,SR 7.2 - The control system shall provide the capability to limit the use of resources by security functions to prevent resource exhaustion.
CTRL-0000001112,SR 7.1 - The control system shall provide the capability to operate in a degraded mode during a DoS event.
CTRL-0000001111,SR 3.8 RE 1 - The control system shall provide the capability to invalidate session IDs upon user logout or other session termination (including browser sessions).
CTRL-0000001110,SR 3.8 RE 2 - The control system shall provide the capability to generate a unique session ID for each session and treat all unexpected session IDs as invalid.
CTRL-0000001109,SR 3.8 - The control system shall provide the capability to protect the integrity of sessions. The control system shall reject any usage of invalid session IDs.
CTRL-0000001108,SR 3.8 RE 3 - The control system shall provide the capability to generate unique session IDs with commonly accepted sources of randomness.
CTRL-0000001107,"SR 1.9 - For control systems utilizing public key authentication, the control system shall provide the capability to:
a) validate certificates by checking the validity of the signature of a given certificate;
b) validate certificates by constructing a certification path to an accepted CA or in the case of self-signed certificates by deploying leaf certificates to all hosts which communicate with the subject to which the certificate is issued;
c) validate certificates by checking a given certificate’s revocation status;
d) establish user (human, software process or device) control of the corresponding private key; and
e) map the authenticated identity to a user (human, software process or device)."
CTRL-0000001106,SR 1.10 - The control system shall provide the capability to obscure feedback of authentication information during the authentication process.
CTRL-0000001105,SR 3.1 RE 1 - The control system shall provide the capability to employ cryptographic mechanisms to recognize changes to information during communication.
CTRL-0000001104,SR 1.9 RE 1 - The control system shall provide the capability to protect the relevant private keys via hardware mechanisms according to commonly accepted security industry practices and recommendations.
CTRL-0000001103,SR 5.2 RE 3 - The control system shall provide the capability to prevent any communication through the control system boundary when there is an operational failure of the boundary protection mechanisms (also termed fail close). This ‘fail close’ functionality shall be designed such that it does not interfere with the operation of a SIS or other safety-related functions.
CTRL-0000001102,SR 3.1 - The control system shall provide the capability to protect the integrity of transmitted information.
CTRL-0000001101,SR 5.2 RE 2 - The control system shall provide the capability to prevent any communication through the control system boundary (also termed island mode).
CTRL-0000001100,"SR 5.2 RE 1 - The control system shall provide the capability to deny network traffic by default and allow network traffic by exception (also termed deny all, permit by exception)."
CTRL-0000001099,SR 5.2 - The control system shall provide the capability to monitor and control communications at zone boundaries to enforce the compartmentalization defined in the risk-based zones and conduits model.
CTRL-0000001098,SR 5.1 RE 3 - The control system shall provide the capability to logically and physically isolate critical control system networks from non-critical control system networks.
CTRL-0000001097,"SR 5.1 RE 2 - The control system shall have the capability to provide network services to control system networks, critical or otherwise, without a connection to non-control system networks."
CTRL-0000001096,The control system shall provide the capability to physically segment control system networks from non-control system networks and to physically segment critical control system networks from non-critical control system networks.
CTRL-0000001095,The control system shall provide the capability to logically segment control system networks from non-control system networks and to logically segment critical control system networks from other control system networks.
CTRL-0000001094,SR 2.1 RE 4 - The control system shall support dual approval where an action can result in serious impact on the industrial process.
CTRL-0000001093,SR 2.1 RE 3 - The control system shall support supervisor manual override of the current human user authorizations for a configurable time or event sequence.
CTRL-0000001092,SR 2.1 RE 2 - The control system shall provide the capability for an authorized user or role to define and modify the mapping of permissions to roles for all human users.
CTRL-0000001091," On all interfaces, the control system shall provide the capability to enforce authorizations assigned to all human users for controlling use of the control system to support segregation of duties and least privilege."
CTRL-0000001090,SR 2.6 - The control system shall provide the capability to terminate a remote session either automatically after a configurable time period of inactivity or manually by the user who initiated the session.
CTRL-0000001089,"SR 2.7 - The control system shall provide the capability to limit the number of concurrent sessions per interface for any given user (human, software process or device) to a configurable number of sessions."
CTRL-0000001088,"SR 2.1 - On all interfaces, the control system shall provide the capability to enforce authorizations assigned to all users (humans, software processes and devices) for controlling use of the control system to support segregation of duties and least privilege."
CTRL-0000001087,"SR 1.8 - Where PKI is utilized, the control system shall provide the capability to operate a PKI according to commonly accepted best practices or obtain public key certificates from an existing PKI."
CTRL-0000001086,SR 1.7 RE 2 - The control system shall provide the capability to enforce password minimum and maximum lifetime restrictions for all users.
CTRL-0000001085,The control system shall provide the capability to deny access requests via untrusted networks unless approved by an assigned role.
CTRL-0000001084,SR 1.13 - The control system shall provide the capability to monitor and control all methods of access to the control system via untrusted networks.
CTRL-0000001083,"SR 1.7 RE 1 - The control system shall provide the capability to prevent any given human user account from reusing a password for a configurable number of generations. In addition, the control system shall provide the capability to enforce password minimum and maximum lifetime restrictions for human users. These capabilities shall conform with commonly accepted security industry practices."
CTRL-0000001082,"SR 1.6 RE 1 - The control system shall provide the capability to uniquely identify and authenticate all users (humans, software processes or devices) engaged in wireless communication."
CTRL-0000001081,"SR 1.7 - For control systems utilizing password-based authentication, the control system shall provide the capability to enforce configurable password strength based on minimum length and variety of character types."
CTRL-0000001080,"SR 1.6 - The control system shall provide the capability to identify and authenticate all users (humans, software processes or devices) engaged in wireless communication."
CTRL-0000001079,"SR 1.4 - The control system shall provide the capability to support the management of identifiers by user, group, role or control system interface."
CTRL-0000001078,"SR 1.5 RE 1 - For software process and device users, the control system shall provide the capability to protect the relevant authenticators via hardware mechanisms."
CTRL-0000001077,"SR 1.5 - The control system shall provide the capability to:
a) initialize authenticator content;
b) change all default authenticators upon control system installation;
c) change/refresh all authenticators; and
d) protect all authenticators from unauthorized disclosure and modification when stored and transmitted."
CTRL-0000001076,SR 1.3 RE 1 - The control system shall provide the capability to support unified account management.
CTRL-0000001075,SR 1.2 - The control system shall provide the capability to identify and authenticate all software processes and devices. This capability shall enforce such identification and authentication on all interfaces which provide access to the control system to support least privilege in accordance with applicable security policies and procedures.
CTRL-0000001074,SR 1.2 RE 1 - The control system shall provide the capability to uniquely identify and authenticate all software processes and devices.
CTRL-0000001073,SR 1.1 RE 3 - The control system shall provide the capability to employ multifactor authentication for all human user access to the control system.
CTRL-0000001072,"SR 1.3 - The control system shall provide the capability to support the management of all accounts by authorized users, including adding, activating, modifying, disabling and removing accounts."
CTRL-0000001071,SR 1.1 RE 2 - The control system shall provide the capability to employ multifactor authentication for human user access to the control system via an untrusted network.
CTRL-0000001070,The control system shall provide the capability to report the current list of installed components and their associated properties.
CTRL-0000001069,SR 1.1 RE 1 - The control system shall provide the capability to uniquely identify and authenticate all human users.
CTRL-0000001068,SR 1.1 - The control system shall provide the capability to identify and authenticate all human users. This capability shall enforce such identification and authentication on all interfaces which provide human user access to the control system to support segregation of duties and least privilege in accordance with applicable security policies and procedures.
CTRL-0000001067,"Strong Encryption shall be used for all transfers of Sensitive Personal Data  between System Assets, unless source and destination systems are contained within the same Secure Cell."
CTRL-0000001066,"System Assets processing Sensitive Personal Data shall implement encryption of data-at-rest, or shall be hosted within a Secure Cell."
CTRL-0000001065,"Encrypted connections, using protocols that have been approved by the appointed CS architectural authority, shall be used for all access via Privileged IT accounts to IT System Assets."
CTRL-0000001064,All IT system assets shall be configured to retrieve time information from authorised time services to ensure time stamps for system logs are consistent. Access to configure time synchronisation shall be restricted to authorised system administrators.
CTRL-0000001063,All privileged IT accounts shall require MFA.
CTRL-0000001062,"DR Plans shall incorporate the lessons learned from any continuity and disaster incidents, and/or DR testing."
CTRL-0000001061,"The setting of password policy for Privileged IT Accounts to ""no expiry"" shall be prohibited."
CTRL-0000001060,DR Plans shall incorporate a communication plan to advise (internal & external) stakeholders of recovery activities.
CTRL-0000001059,Suppliers shall ensure security requirements are still met during the activation of a DR Plan.
CTRL-0000001058,"The DR plan shall be implemented in order to recover from a cyber security incident of the appropriate type & severity, as defined in the DR plan."
CTRL-0000001057,"Vulnerabilities shall be addressed within the timescales laid out under the Cyber Risk Management Guidelines & Procedures. Delayed, or non-deployment of mitigating controls/fixes/patches to address vulnerabilities shall be treated as Findings subject to standard procedures for Findings Management."
CTRL-0000001056,Suppliers shall have DR plans in place to ensure that the minimum requirements for service continuity & information availability can be met for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability. The DR plan shall be tested by Suppliers annually.
CTRL-0000001055,"Detection, prevention and recovery controls to protect against malware shall be implemented, combined with appropriate standards, guidelines and procedures in place, including user awareness and training."
CTRL-0000001054,"Technical vulnerability scans, assessments (including patching assessments), and penetration testing shall be performed for IT systems and networks, taking into account IT and service requirements and constraints. Any types of technical vulnerability scans, or assessments for OT systems shall be passive, and based on risk assessment. No penetration test to be done for OT systems."
CTRL-0000001053,Configuration management processes and procedures (for ensuring consistency and performance of IT & OT System Assets) shall incorporate checking of configurations of System Assets against requirements laid out in the relevant hardening specifications.
CTRL-0000001052,IT System Assets rated as having SEVERE or MAJOR business impact in terms of Availability shall have appropriate High Availability features built into the architectural design to avoid single points of failure.
CTRL-0000001051,Cyber security requirements for event logging shall be identified for IT and OT System Assets.
CTRL-0000001050,System event logging shall be enabled on IT System Assets.
CTRL-0000001049,"DR Plans for System Assets, rated as having SEVERE or MAJOR business impact in terms of Availability, shall be tested annually (at least partially, but ensuring that end-to-end testing is completed over a 3-year cycle)."
CTRL-0000001048,"Processes & procedures shall be defined to ensure that action plans are developed to address findings/non-compliances in a timely way.  Unaddressed findings shall be registered, then duly risk-assessed and treated, as per the Cyber Security Risk Management Guidelines & Procedures."
CTRL-0000001047,"A DR test plan shall be defined for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability, with success criteria established in advance of testing."
CTRL-0000001046,A DR Plan shall be developed to recover from cyber security incidents for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability.
CTRL-0000001045,"Data backups shall be logged, and securely stored/maintained in accordance with the agreed backup and restoration plan."
CTRL-0000001044,Backup information shall be retained based on the backup & restore plan.
CTRL-0000001042,"Changes to IT & OT System Assets shall be reviewed to ensure that they were successful, and then finally signed off by the relevant authority."
CTRL-0000001041,"Requirements for backup of System Assets and data rated as being SEVERE or MAJOR business impact in terms of Availability, shall be part of the System Asset DR Plan. This shall include retention requirements, where applicable."
CTRL-0000001040,Data backups shall be performed as per the backup plan agreed with the business/application/service owners.
CTRL-0000001039,Third Party software providers shall provide assurance of code integrity and absence of vulnerabilities.
CTRL-0000001038,"Changes to IT System Assets shall be formally requested, planned, approved and initiated. Changes to OT assets shall be as per the site's MOC procedures and guidelines and the PTW system of the facility."
CTRL-0000001037,Changes shall be deployed in accordance with the agreed roll-out plan for the change.
CTRL-0000001036,"Changes to IT System Assets shall be properly tested in Test environments (where available), prior to deployment in Production. Changes to OT Assets, as per the MOC, shall be tested in the Factory Acceptance Test (FAT) followed by Site Acceptance Test (SAT). Testing shall cover cyber security aspects, where appropriate (e.g. negative testing of access controls)."
CTRL-0000001035,The project delivery framework shall be applied to all IT and OT projects.
CTRL-0000001034,Source code shall be protected against unauthorised access or change.
CTRL-0000001033,Cyber security testing shall be undertaken before new or changed IT systems/applications are migrated to Production environments.
CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
CTRL-0000001030,"Capacity resources shall be monitored and reported for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability, to ascertain their adequacy in maintaining availability, and to prevent misuse. The usage capacity monitoring shall include system memory storage and network utilisation."
CTRL-0000001029,"End-point IT operating software releases shall be kept up-to-date. Software shall be:
a. licenced and supported by the vendor; 
b. within two major releases of the latest major vendor release (i.e. n-2, at the oldest);
c. removed from devices when no longer supported."
CTRL-0000001028,System & network capacity requirements shall be identified as part IT service development.  Additional capacity shall be factored in for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability.
CTRL-0000001026,"Passwords shall not be displayed anywhere on Physical Assets, or documented in operating manuals, or hard-coded in source code."
CTRL-0000001025,The minimum password age for Privileged IT Acounts shall be one (1) day and maximum age of passwords shall be thirty (30) days.
CTRL-0000001024,"MFA shall be used for access to IT System Assets assessed as having a CS BIA rating of SEVERE or MAJOR due to loss of Confidentiality, Integrity, or Availability."
CTRL-0000001023,"Access rights and privileges shall be provided in accordance with the principle of ""Least Privilege"", and shall be in line with defined access policies for System Assets."
CTRL-0000001022,"Changes in user access, through modifications of roles or permissions, shall be properly controlled."
CTRL-0000001021,"Role-based access shall be granted to only perform authorised duties, which are relevant to corresponding job roles and responsibilities."
CTRL-0000001020,"Access by Third Parties (e.g. vendors, service providers, partner companies etc.) shall be securely managed, in order to ensure that only specifically-required access is provided for the agreed period."
CTRL-0000001019,Inactive accounts shall be disabled to avoid the risks of unused/unnecessary accounts being present for unauthorised use.
CTRL-0000001018,There shall be a user access review process in place to ensure accounts are still required and access rights remain appropriate.
CTRL-0000001017,Remote connection shall be disabled by default on End-Points.
CTRL-0000001016,"Access policies shall be defined for Company networks, System Assets and services, taking into account requirements for segregation of duties and responsibilities."
CTRL-0000001015,"A formal user account provisioning process shall be in place, for provision of all types of accounts."
CTRL-0000001014,"In the case of a change in role or access requirement, an access modification request shall be raised and actioned."
CTRL-0000001013,"Use of privileged IT/OT accounts shall be strictly controlled, to avoid the risks of system misuse or compromize."
CTRL-0000001012,"User accounts shall be de-provisioned in a timely way, to avoid the risks of unused/unnecessary accounts being retained."
CTRL-0000001011,"Emergency accounts shall only be used when access to privileged accounts is unavailable, and shall be strictly controlled."
CTRL-0000001010,"Use of IT service accounts shall be strictly controlled, in order to avoid risks of compromise."
CTRL-0000001009,"Generic and Default accounts (e.g. as provided with “out-of-the-box” installations) shall be subject to password change, and strong password rules, in order to avoid risks of compromise."
CTRL-0000001008,"Test accounts shall be strictly controlled, in order to avoid risks of compromise, or impact on Production systems."
CTRL-0000001007,Export of Personal Data or Sensitive Personal Data shall only be permitted in accordance with applicable laws & regulations.
CTRL-0000001006,"Unique user ID's shall be attested, securely created and assigned to individual Employees, Contractors, and Third Party Users."
CTRL-0000001005,"Protective controls shall be applied to handle data in Development & Test environments, according to its classification."
CTRL-0000001003,Personal Data and Sensitive Personal Data shall be collected in compliance with applicable data privacy laws.
CTRL-0000001002,All System Assets shall have an asset owner identified.
CTRL-0000001001,Personal Data and Sensitive Personal Data shall be processed in compliance with applicable data privacy laws.
CTRL-0000001000,Personal Data and Sensitive Personal Data shall be managed & controlled in compliance with applicable data privacy laws.
